RS_VWG,AGS
071415011,07141001; 07141010; 07141011; 07141013; 07141018; 07141020; 07141032; 07141034; 07141036; 07141039; 07141043; 07141050; 07141051; 07141054; 07141065; 07141068; 07141073; 07141074; 07141081; 07141088; 07141089; 07141093; 07141095; 07141096; 07141101; 07141102; 07141113; 07141117; 07141118; 07141125; 07141126
071435001,07143206; 07143211; 07143216; 07143222; 07143227; 07143231; 07143234; 07143243; 07143248; 07143253; 07143255; 07143264; 07143270; 07143277; 07143279; 07143280; 07143297; 07143300
071435002,07143202; 07143204; 07143205; 07143212; 07143215; 07143223; 07143225; 07143229; 07143235; 07143236; 07143240; 07143241; 07143250; 07143252; 07143257; 07143258; 07143259; 07143260; 07143261; 07143262; 07143265; 07143267; 07143268; 07143269; 07143276; 07143287; 07143294; 07143296; 07143299; 07143301; 07143306; 07143310; 07143313
071435003,07143030; 07143031; 07143032; 07143040
071435004,07143005; 07143008; 07143013; 07143020; 07143021; 07143023; 07143024; 07143026; 07143027; 07143033; 07143034; 07143036; 07143039; 07143048; 07143051; 07143052; 07143053; 07143054; 07143055; 07143057; 07143065; 07143071; 07143072; 07143077; 07143079
071435005,07143001; 07143006; 07143007; 07143009; 07143038; 07143050; 07143059; 07143062; 07143068; 07143082; 07143084
071435006,07143214; 07143218; 07143237; 07143244; 07143245; 07143246; 07143256; 07143271; 07143272; 07143274; 07143278; 07143282; 07143283; 07143285; 07143286; 07143291; 07143292; 07143295; 07143302; 07143303; 07143309; 07143311; 07143315
071435007,07143015; 07143018; 07143019; 07143022; 07143025; 07143029; 07143041; 07143044; 07143045; 07143046; 07143056; 07143061; 07143064; 07143066; 07143067; 07143069; 07143075; 07143078; 07143085; 07143221; 07143305
071435008,07143011; 07143037; 07143058; 07143074; 07143080; 07143203; 07143208; 07143210; 07143220; 07143232; 07143239; 07143251; 07143263; 07143266; 07143273; 07143281; 07143290; 07143304; 07143316; 07143501; 07143502
071435009,07143200; 07143207; 07143209; 07143213; 07143219; 07143224; 07143226; 07143228; 07143230; 07143233; 07143238; 07143242; 07143247; 07143249; 07143254; 07143284; 07143288; 07143289; 07143293; 07143298; 07143307; 07143308; 07143312; 07143314
071435010,07143003; 07143010; 07143012; 07143028; 07143042; 07143047; 07143049; 07143060; 07143070; 07143073; 07143081; 07143275
072110000,07211000
072310134,07231134
072310502,07231502
072315001,07231008; 07231012; 07231016; 07231030; 07231040; 07231041; 07231056; 07231066; 07231070; 07231071; 07231075; 07231076; 07231077; 07231081; 07231086; 07231087; 07231090; 07231092; 07231105; 07231125; 07231126; 07231133; 07231136
072315006,07231006; 07231017; 07231018; 07231019; 07231032; 07231035; 07231042; 07231054; 07231058; 07231064; 07231078; 07231079; 07231083; 07231093; 07231112; 07231115; 07231122; 07231123; 07231202; 07231203; 07231204
072315008,07231001; 07231003; 07231007; 07231009; 07231010; 07231013; 07231021; 07231022; 07231023; 07231024; 07231025; 07231026; 07231031; 07231036; 07231037; 07231044; 07231046; 07231049; 07231050; 07231051; 07231053; 07231062; 07231065; 07231069; 07231074; 07231080; 07231082; 07231085; 07231091; 07231095; 07231096; 07231100; 07231101; 07231103; 07231104; 07231107; 07231108; 07231111; 07231113; 07231114; 07231116; 07231117; 07231127; 07231503; 07231504
072315009,07231004; 07231005; 07231014; 07231020; 07231029; 07231033; 07231057; 07231067; 07231068; 07231072; 07231110; 07231120; 07231124; 07231132; 07231206; 07231501
072320018,07232018
072325001,07232201; 07232211; 07232212; 07232213; 07232214; 07232217; 07232220; 07232221; 07232229; 07232233; 07232234; 07232240; 07232245; 07232246; 07232247; 07232248; 07232249; 07232253; 07232254; 07232255; 07232258; 07232259; 07232260; 07232261; 07232262; 07232263; 07232264; 07232267; 07232270; 07232277; 07232285; 07232287; 07232291; 07232293; 07232294; 07232297; 07232298; 07232301; 07232309; 07232310; 07232315; 07232322; 07232333
072325005,07232001; 07232002; 07232003; 07232004; 07232005; 07232008; 07232011; 07232012; 07232016; 07232019; 07232022; 07232025; 07232028; 07232031; 07232033; 07232037; 07232038; 07232040; 07232041; 07232042; 07232047; 07232049; 07232053; 07232054; 07232056; 07232059; 07232063; 07232064; 07232065; 07232066; 07232067; 07232068; 07232069; 07232072; 07232073; 07232078; 07232080; 07232082; 07232084; 07232085; 07232088; 07232089; 07232090; 07232093; 07232094; 07232095; 07232096; 07232102; 07232103; 07232106; 07232108; 07232110; 07232112; 07232114; 07232116; 07232117; 07232121; 07232122; 07232127; 07232128; 07232130; 07232131; 07232132; 07232138; 07232218; 07232225
072325006,07232202; 07232206; 07232207; 07232208; 07232209; 07232216; 07232222; 07232223; 07232224; 07232226; 07232227; 07232230; 07232231; 07232236; 07232238; 07232250; 07232256; 07232265; 07232266; 07232271; 07232272; 07232276; 07232279; 07232280; 07232283; 07232284; 07232288; 07232290; 07232292; 07232295; 07232296; 07232300; 07232302; 07232304; 07232305; 07232307; 07232308; 07232318; 07232320; 07232321; 07232327; 07232328; 07232329; 07232332
072325007,07232006; 07232010; 07232050; 07232055; 07232104; 07232107; 07232123; 07232289; 07232311
072325008,07232007; 07232009; 07232013; 07232014; 07232015; 07232017; 07232020; 07232024; 07232026; 07232027; 07232029; 07232030; 07232032; 07232034; 07232035; 07232036; 07232039; 07232043; 07232044; 07232045; 07232046; 07232048; 07232057; 07232058; 07232060; 07232061; 07232062; 07232070; 07232071; 07232074; 07232075; 07232076; 07232077; 07232079; 07232081; 07232083; 07232086; 07232087; 07232091; 07232092; 07232097; 07232098; 07232099; 07232100; 07232101; 07232105; 07232109; 07232111; 07232113; 07232115; 07232118; 07232119; 07232120; 07232124; 07232125; 07232126; 07232129; 07232133; 07232134; 07232135; 07232137; 07232203; 07232210; 07232228; 07232273; 07232282; 07232306; 07232313; 07232331; 07232501; 07232502
072335001,07233006; 07233008; 07233011; 07233014; 07233016; 07233017; 07233018; 07233020; 07233021; 07233025; 07233027; 07233030; 07233031; 07233034; 07233039; 07233040; 07233042; 07233043; 07233046; 07233049; 07233052; 07233055; 07233061; 07233062; 07233063; 07233064; 07233065; 07233067; 07233068; 07233070; 07233071; 07233074; 07233075; 07233077; 07233079; 07233081; 07233084; 07233501
072335004,07233003; 07233010; 07233032; 07233037; 07233048; 07233201; 07233202; 07233203; 07233205; 07233206; 07233207; 07233208; 07233210; 07233212; 07233213; 07233215; 07233216; 07233217; 07233218; 07233220; 07233221; 07233222; 07233224; 07233225; 07233226; 07233228; 07233230; 07233233; 07233234; 07233236; 07233242; 07233243; 07233244
072335006,07233002; 07233004; 07233005; 07233007; 07233019; 07233022; 07233023; 07233026; 07233028; 07233029; 07233033; 07233035; 07233036; 07233038; 07233041; 07233050; 07233053; 07233054; 07233056; 07233058; 07233060; 07233076; 07233080; 07233083; 07233204; 07233209; 07233211; 07233214; 07233219; 07233223; 07233227; 07233229; 07233232; 07233235; 07233237; 07233239; 07233240; 07233241
072355001,07235005; 07235008; 07235014; 07235030; 07235035; 07235036; 07235045; 07235047; 07235092; 07235093; 07235112; 07235114; 07235153
072355003,07235055; 07235068; 07235095; 07235096; 07235101; 07235106; 07235132; 07235133; 07235143; 07235144; 07235146; 07235148
072355004,07235010; 07235021; 07235037; 07235038; 07235044; 07235046; 07235050; 07235056; 07235070; 07235080; 07235085; 07235090; 07235100; 07235103; 07235107; 07235116; 07235124; 07235129; 07235135; 07235141
072355006,07235004; 07235015; 07235019; 07235022; 07235026; 07235060; 07235063; 07235067; 07235074; 07235077; 07235078; 07235083; 07235091; 07235108; 07235115; 07235120; 07235125; 07235134; 07235207
072355007,07235001; 07235027; 07235048; 07235051; 07235069; 07235073; 07235094; 07235111; 07235137; 07235151; 07235501
072355008,07235002; 07235003; 07235025; 07235028; 07235033; 07235040; 07235043; 07235052; 07235057; 07235058; 07235062; 07235072; 07235081; 07235082; 07235098; 07235104; 07235105; 07235118; 07235119; 07235122; 07235123; 07235126; 07235131; 07235136; 07235140; 07235142; 07235149; 07235152; 07235154
073110000,07311000
073120000,07312000
073130000,07313000
073140000,07314000
073150000,07315000
073160000,07316000
073170000,07317000
073180000,07318000
073190000,07319000
073200000,07320000
073310003,07331003
073315001,07331001; 07331005; 07331007; 07331008; 07331010; 07331012; 07331014; 07331020; 07331021; 07331022; 07331024; 07331025; 07331026; 07331027; 07331031; 07331032; 07331042; 07331043; 07331044; 07331050; 07331051; 07331052; 07331053; 07331067
073315002,07331002; 07331018; 07331034; 07331038; 07331045
073315003,07331023; 07331041; 07331046; 07331047; 07331048; 07331054; 07331066
073315005,07331017; 07331030; 07331035; 07331060; 07331062; 07331070; 07331072; 07331075
073315006,07331004; 07331019; 07331029; 07331033; 07331056; 07331058; 07331059; 07331061; 07331063; 07331064; 07331065; 07331068; 07331073
073315007,07331006; 07331009; 07331011; 07331015; 07331028; 07331036; 07331037; 07331039; 07331049; 07331055; 07331071
073320002,07332002
073320024,07332024
073320025,07332025
073325001,07332009; 07332017; 07332035; 07332039; 07332043
073325002,07332005; 07332008; 07332015; 07332019; 07332026; 07332028; 07332049; 07332050
073325005,07332014; 07332016; 07332018; 07332032; 07332034; 07332037; 07332048
073325006,07332013; 07332020; 07332022; 07332046
073325007,07332001; 07332003; 07332004; 07332006; 07332007; 07332010; 07332012; 07332021; 07332023; 07332027; 07332029; 07332030; 07332031; 07332033; 07332036; 07332038; 07332040; 07332041; 07332042; 07332044; 07332047
073335002,07333019; 07333038; 07333060
073335003,07333001; 07333006; 07333012; 07333017; 07333018; 07333026; 07333032; 07333041; 07333058; 07333064; 07333074; 07333081; 07333501
073335004,07333005; 07333007; 07333010; 07333013; 07333022; 07333031; 07333035; 07333039; 07333040; 07333045; 07333046; 07333047; 07333056; 07333057; 07333062; 07333076
073335006,07333009; 07333011; 07333020; 07333027; 07333030; 07333033; 07333042; 07333048; 07333069; 07333071; 07333075; 07333080; 07333503
073335007,07333003; 07333004; 07333008; 07333014; 07333016; 07333021; 07333023; 07333024; 07333025; 07333028; 07333034; 07333036; 07333037; 07333043; 07333049; 07333050; 07333051; 07333053; 07333054; 07333055; 07333061; 07333065; 07333066; 07333067; 07333068; 07333072; 07333073; 07333077; 07333078; 07333079; 07333083; 07333084; 07333201; 07333202; 07333203; 07333502
073340007,07334007
073340501,07334501
073345001,07334001; 07334014; 07334023; 07334036
073345002,07334002; 07334008; 07334021; 07334027
073345003,07334009; 07334012; 07334022; 07334024
073345004,07334004; 07334005; 07334013; 07334020; 07334030; 07334031; 07334034
073345005,07334006; 07334017; 07334018; 07334028; 07334032; 07334033
073345006,07334011; 07334015; 07334016; 07334025
073355001,07335003; 07335011; 07335201; 07335202; 07335203
073355002,07335004; 07335007; 07335010; 07335015; 07335026; 07335028; 07335048; 07335205
073355008,07335016; 07335020; 07335030; 07335038; 07335044
073355009,07335005; 07335006; 07335019; 07335024; 07335040; 07335043; 07335049; 07335501
073355010,07335009; 07335013; 07335014; 07335017; 07335025; 07335029; 07335033; 07335034; 07335035; 07335041; 07335042; 07335046
073355011,07335002; 07335012; 07335018; 07335021; 07335022; 07335023; 07335027; 07335031; 07335037; 07335045; 07335047; 07335204
073365008,07336001; 07336005; 07336012; 07336013; 07336014; 07336019; 07336023; 07336029; 07336030; 07336033; 07336035; 07336036; 07336038; 07336040; 07336042; 07336043; 07336044; 07336045; 07336048; 07336049; 07336050; 07336053; 07336057; 07336058; 07336060; 07336061; 07336062; 07336065; 07336069; 07336072; 07336073; 07336074; 07336075; 07336085; 07336086; 07336087; 07336090; 07336095; 07336100; 07336104; 07336105
073365009,07336004; 07336008; 07336010; 07336011; 07336016; 07336017; 07336027; 07336031; 07336032; 07336037; 07336041; 07336047; 07336054; 07336056; 07336064; 07336076; 07336082; 07336092; 07336096; 07336101; 07336102; 07336107; 07336501
073365010,07336002; 07336003; 07336006; 07336009; 07336015; 07336018; 07336021; 07336022; 07336024; 07336025; 07336034; 07336039; 07336046; 07336051; 07336052; 07336055; 07336066; 07336067; 07336068; 07336070; 07336071; 07336077; 07336079; 07336081; 07336084; 07336088; 07336089; 07336091; 07336094; 07336097; 07336098; 07336099; 07336103; 07336106
073375001,07337001; 07337017; 07337024; 07337033; 07337054; 07337064; 07337067; 07337074; 07337078; 07337080; 07337081; 07337083; 07337501
073375002,07337005; 07337006; 07337008; 07337013; 07337018; 07337019; 07337029; 07337037; 07337045; 07337046; 07337049; 07337055; 07337056; 07337058; 07337059; 07337060; 07337062; 07337071; 07337072; 07337076; 07337079
073375003,07337002; 07337011; 07337015; 07337020; 07337021; 07337025; 07337027; 07337028; 07337032; 07337035; 07337036; 07337048; 07337066; 07337069; 07337077; 07337084
073375004,07337038; 07337039; 07337044; 07337068
073375005,07337007; 07337009; 07337012; 07337022; 07337026; 07337031; 07337040; 07337042; 07337043; 07337050; 07337051; 07337065; 07337073; 07337082
073375006,07337047; 07337052; 07337070
073375007,07337014; 07337023; 07337041; 07337061
073380004,07338004
073380005,07338005
073380017,07338017
073380019,07338019
073380025,07338025
073385001,07338006; 07338014; 07338022
073385004,07338003; 07338008; 07338018
073385006,07338002; 07338009; 07338012; 07338013; 07338015; 07338016
073385007,07338007; 07338010; 07338011; 07338023
073385008,07338001; 07338020; 07338021; 07338026
073390005,07339005
073390009,07339009
073390030,07339030
073395001,07339003; 07339007; 07339036; 07339038; 07339040; 07339044; 07339045; 07339058; 07339062; 07339063
073395002,07339006; 07339020; 07339026; 07339034; 07339039
073395003,07339001; 07339008; 07339016; 07339019; 07339041; 07339046; 07339048; 07339051
073395006,07339017; 07339031; 07339032; 07339042; 07339047; 07339054; 07339057; 07339067
073395007,07339010; 07339011; 07339012; 07339013; 07339015; 07339018; 07339024; 07339025; 07339028; 07339033; 07339035; 07339037; 07339043; 07339049; 07339053; 07339059; 07339060; 07339064; 07339066; 07339201
073395008,07339002; 07339004; 07339021; 07339022; 07339029; 07339050; 07339056; 07339065; 07339068; 07339202
073405001,07340001; 07340002; 07340004; 07340009; 07340010; 07340011; 07340021; 07340029; 07340033; 07340034; 07340039; 07340043; 07340045; 07340501; 07340502
073405002,07340005; 07340006; 07340014; 07340020; 07340030; 07340047; 07340049; 07340057
073405003,07340008; 07340019; 07340026; 07340028; 07340036; 07340040; 07340048; 07340052; 07340053; 07340205
073405004,07340003; 07340007; 07340027; 07340031; 07340032; 07340038
073405006,07340012; 07340015; 07340016; 07340022; 07340025; 07340044; 07340050; 07340054
073405008,07340201; 07340202; 07340203; 07340206; 07340207; 07340208; 07340209; 07340210; 07340211; 07340212; 07340213; 07340214; 07340218; 07340221; 07340223; 07340226; 07340227
073405009,07340017; 07340018; 07340023; 07340024; 07340035; 07340037; 07340041; 07340042; 07340051; 07340055; 07340204; 07340215; 07340216; 07340217; 07340219; 07340220; 07340222; 07340224; 07340225; 07340228
130030000,13003000
130040000,13004000
130710027,13071027
130710029,13071029
130710033,13071033
130710107,13071107
130710110,13071110
130710156,13071156
130715151,13071008; 13071014; 13071064; 13071065; 13071072; 13071076; 13071089; 13071096; 13071112; 13071128; 13071131; 13071136; 13071139; 13071148; 13071150; 13071157
130715152,13071028; 13071035; 13071037
130715153,13071007; 13071032; 13071039; 13071084; 13071092; 13071109
130715154,13071001; 13071036; 13071043; 13071093; 13071113; 13071114; 13071138; 13071155; 13071171
130715155,13071099; 13071119; 13071159; 13071167
130715156,13071011; 13071012; 13071025; 13071042; 13071058; 13071066; 13071075; 13071080; 13071100; 13071147; 13071162
130715157,13071009; 13071010; 13071019; 13071104; 13071108; 13071111; 13071140; 13071141; 13071145; 13071161; 13071166; 13071170
130715158,13071005; 13071101; 13071115; 13071173
130715159,13071003; 13071013; 13071020; 13071023; 13071034; 13071045; 13071053; 13071073; 13071087; 13071088; 13071097; 13071118; 13071122; 13071124; 13071133; 13071137; 13071143; 13071175; 13071176
130715160,13071047; 13071056; 13071063; 13071069; 13071071; 13071077; 13071078; 13071103; 13071144; 13071154; 13071172; 13071174
130715161,13071021; 13071026; 13071055; 13071067; 13071090; 13071117
130715162,13071015; 13071018; 13071048; 13071060; 13071068; 13071070; 13071074; 13071079; 13071102; 13071123; 13071127; 13071142; 13071169
130715163,13071002; 13071004; 13071006; 13071016; 13071017; 13071022; 13071041; 13071044; 13071049; 13071050; 13071057; 13071059; 13071081; 13071120; 13071125; 13071135; 13071146; 13071158; 13071160; 13071163
130715164,13071054; 13071083; 13071105; 13071130; 13071132; 13071153; 13071164
130720006,13072006
130720029,13072029
130720036,13072036
130720043,13072043
130720058,13072058
130720060,13072060
130720074,13072074
130720091,13072091
130720093,13072093
130720106,13072106
130725251,13072001; 13072007; 13072017; 13072047; 13072075; 13072083; 13072086; 13072099; 13072117
130725252,13072009; 13072013; 13072020; 13072028; 13072050; 13072053; 13072078; 13072089; 13072101; 13072104; 13072114; 13072120
130725253,13072019; 13072081; 13072087; 13072108
130725254,13072004; 13072010; 13072031; 13072035; 13072111
130725255,13072033; 13072039; 13072042; 13072044; 13072055; 13072061; 13072067; 13072069; 13072071; 13072073; 13072079; 13072084; 13072092; 13072119
130725256,13072026; 13072048; 13072056; 13072059; 13072063
130725257,13072027; 13072046; 13072062; 13072112
130725258,13072003; 13072023; 13072024; 13072038; 13072040; 13072041; 13072045; 13072049; 13072066; 13072082; 13072094; 13072096; 13072103; 13072109; 13072113
130725259,13072002; 13072005; 13072008; 13072014; 13072022; 13072085
130725260,13072012; 13072015; 13072032; 13072072; 13072088
130725261,13072011; 13072018; 13072051; 13072090; 13072095; 13072110; 13072116
130725262,13072021; 13072034; 13072037; 13072076; 13072097; 13072102; 13072105; 13072107; 13072118
130725263,13072030; 13072057; 13072064; 13072077; 13072080; 13072098; 13072121
130730011,13073011
130730035,13073035
130730055,13073055
130730070,13073070
130730080,13073080
130730088,13073088
130730089,13073089
130730105,13073105
130735351,13073005; 13073037; 13073044; 13073046; 13073066; 13073068
130735352,13073009; 13073018; 13073025; 13073042; 13073043; 13073051; 13073053; 13073069; 13073077; 13073094
130735353,13073010; 13073014; 13073027; 13073038; 13073049; 13073063; 13073064; 13073065; 13073072; 13073074; 13073083
130735354,13073002; 13073012; 13073017; 13073067; 13073100; 13073103
130735355,13073024; 13073029; 13073034; 13073057; 13073062; 13073076; 13073086; 13073096; 13073097; 13073098
130735356,13073023; 13073090; 13073102
130735357,13073006; 13073031; 13073048; 13073084; 13073106; 13073107
130735358,13073036; 13073041; 13073054; 13073060; 13073061; 13073087; 13073099; 13073104
130735359,13073004; 13073013; 13073019; 13073030; 13073052; 13073071; 13073078; 13073101
130735360,13073007; 13073015; 13073016; 13073020; 13073022; 13073032; 13073033; 13073039; 13073050; 13073093
130735361,13073001; 13073075; 13073082; 13073085
130735362,13073003; 13073021; 13073028; 13073040; 13073045; 13073059; 13073073; 13073079; 13073081; 13073092; 13073095
130740026,13074026
130740035,13074035
130740087,13074087
130745451,13074002; 13074003; 13074008; 13074019; 13074030; 13074031; 13074047; 13074053; 13074082
130745452,13074020; 13074021; 13074040; 13074043; 13074054; 13074068; 13074070; 13074081
130745453,13074005; 13074022; 13074069; 13074071; 13074077; 13074079; 13074085; 13074093
130745454,13074010; 13074016; 13074032; 13074037; 13074039; 13074089
130745455,13074001; 13074012; 13074014; 13074015; 13074024; 13074025; 13074038; 13074048; 13074050; 13074061; 13074062; 13074064; 13074072; 13074075; 13074088
130745456,13074004; 13074007; 13074009; 13074034; 13074044; 13074056
130745457,13074006; 13074023; 13074036; 13074046; 13074057; 13074060; 13074084; 13074090; 13074091
130745458,13074013; 13074018; 13074028; 13074033; 13074042; 13074065; 13074066; 13074073; 13074078; 13074080; 13074092
130745459,13074017; 13074027; 13074049; 13074052; 13074067; 13074074; 13074076; 13074094
130750005,13075005
130750039,13075039
130750049,13075049
130750105,13075105
130750130,13075130
130750136,13075136
130755551,13075021; 13075072; 13075074; 13075087; 13075124; 13075144; 13075147
130755552,13075001; 13075003; 13075031; 13075037; 13075051; 13075075; 13075078; 13075084; 13075085; 13075089; 13075093; 13075139
130755553,13075007; 13075013; 13075015; 13075020; 13075022; 13075029; 13075053; 13075068; 13075073; 13075088; 13075098; 13075101; 13075110; 13075116; 13075122; 13075127; 13075128; 13075155
130755554,13075002; 13075009; 13075023; 13075054; 13075070; 13075134; 13075140
130755555,13075008; 13075025; 13075027; 13075050; 13075076; 13075091; 13075102; 13075141; 13075142
130755556,13075011; 13075012; 13075016; 13075035; 13075038; 13075067; 13075079; 13075095; 13075107; 13075108; 13075113; 13075117; 13075119
130755557,13075018; 13075046; 13075059; 13075060; 13075069; 13075081; 13075083; 13075097; 13075120; 13075146
130755558,13075036; 13075082; 13075123
130755559,13075004; 13075033; 13075045; 13075048; 13075118; 13075131; 13075143
130755560,13075017; 13075032; 13075042; 13075055; 13075063; 13075071; 13075103; 13075104; 13075109; 13075115; 13075126; 13075138; 13075149
130755561,13075058; 13075092; 13075106; 13075133; 13075151
130755562,13075010; 13075026; 13075034; 13075056; 13075065; 13075066; 13075080; 13075090; 13075111; 13075114; 13075129; 13075135; 13075137; 13075148; 13075152
130755563,13075006; 13075040; 13075041; 13075043; 13075044; 13075061; 13075094; 13075121; 13075125; 13075145; 13075150; 13075154; 13075156
130760014,13076014
130760060,13076060
130760088,13076088
130760090,13076090
130760108,13076108
130765652,13076009; 13076010; 13076016; 13076030; 13076054; 13076055; 13076102; 13076106; 13076122; 13076136; 13076138
130765654,13076034; 13076053; 13076067; 13076093; 13076094; 13076103; 13076143
130765655,13076040; 13076051; 13076075; 13076077; 13076089; 13076109; 13076125; 13076151; 13076165; 13076168
130765656,13076032; 13076048; 13076096; 13076104; 13076135
130765657,13076003; 13076021; 13076027; 13076037; 13076049; 13076050; 13076069; 13076076; 13076097; 13076098; 13076100; 13076115; 13076161
130765658,13076002; 13076004; 13076008; 13076013; 13076019; 13076041; 13076057; 13076064; 13076065; 13076070; 13076079; 13076099; 13076110; 13076111; 13076116; 13076119; 13076131; 13076145; 13076169
130765659,13076001; 13076018; 13076046; 13076058; 13076086; 13076087; 13076118; 13076134; 13076141; 13076146; 13076156
130765660,13076012; 13076017; 13076105
130765662,13076035; 13076056; 13076068; 13076085; 13076120; 13076126; 13076129; 13076160; 13076162; 13076164
130765663,13076006; 13076114; 13076166
130765664,13076011; 13076015; 13076020; 13076026; 13076062; 13076072; 13076078; 13076101; 13076128; 13076148; 13076155; 13076167
130765665,13076036; 13076063; 13076071; 13076107; 13076121; 13076130; 13076147; 13076154; 13076163
130765666,13076152; 13076153
130765667,13076039; 13076073; 13076092; 13076142; 13076159
130765668,13076005; 13076007; 13076023; 13076024; 13076025; 13076029; 13076033; 13076038; 13076044; 13076080; 13076082; 13076112; 13076113; 13076117; 13076133; 13076140; 13076158
